name_with_type,iso_code,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,10.05.2020,11.05.2020
Ивановская обл,RU-IVA,,,,,,,,,,,,,,1,,,,,,,,1,5,,2,,2,,2,10,,10,14,,13,,2,18,6,10,25,15,13,15,19,20,10,12,14,8,16,11,8,14,31,,,,,,,,,,,,
Респ Дагестан,RU-DA,,,,,,,,,,,,,,,,,,,,,,1,,,3,9,2,10,,,,5,13,1,13,1,26,,,16,5,49,59,44,35,39,40,46,37,113,157,103,167,153,84,,,,,,,,,,,,
Респ Коми,RU-KO,,,,,,,,,,,1,,,,,,,,,2,,,,4,15,,32,2,,3,,31,11,18,31,58,,,,97,97,39,14,19,7,10,16,20,15,11,8,17,12,7,14,,,,,,,,,,,,
Краснодарский край,RU-KDA,,,,,,,1,,,,,,,2,,2,,,,4,,,8,,,,5,,17,,,11,11,24,20,20,13,31,41,5,24,21,30,45,48,34,44,20,58,84,84,73,57,51,63,,,,,,,,,,,,
Волгоградская обл,RU-VGG,,,,,,,,,,,,,,,,,,,1,,,3,,,,,4,,,,,7,11,,,2,5,5,6,2,1,11,4,17,14,18,23,11,20,21,26,30,30,25,16,,,,,,,,,,,,
Пермский край,RU-PER,,,,,,,,1,,,1,,,1,,,,,,2,5,,1,,2,,,7,1,,,,11,,9,4,,15,,27,27,18,12,26,28,17,22,29,21,31,55,61,20,17,10,,,,,,,,,,,,
Тульская обл,RU-TUL,,,,,,,,,,,,,,3,,2,,,,2,,1,3,,1,,5,,,2,10,10,10,5,12,5,,3,11,,45,44,25,30,58,22,75,52,25,44,73,66,69,70,90,,,,,,,,,,,,
Ростовская обл,RU-ROS,,,,,,,,,,,,,,,,,,,,1,,1,,,,3,,4,,,,,8,4,3,5,9,14,26,20,6,41,23,29,35,60,54,52,71,64,51,65,65,64,86,,,,,,,,,,,,
Владимирская обл,RU-VLA,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,2,7,2,24,4,6,23,13,16,45,14,24,15,27,34,21,13,46,42,45,49,43,79,37,,,,,,,,,,,,
Свердловская обл,RU-SVE,,,,,,,,,,,,1,,5,,3,,,4,,7,,4,,,9,,5,1,1,,4,7,5,3,2,13,4,7,8,12,6,4,11,15,8,84,10,28,33,33,58,59,85,90,,,,,,,,,,,,
Тюменская обл,RU-TYU,,,,,,,,,,1,,,,,1,,,,,,,,,1,,2,,,5,,,,7,,1,3,8,9,14,14,18,27,34,39,42,27,36,29,22,16,17,12,13,5,16,,,,,,,,,,,,
Респ Ингушетия,RU-IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,18,,4,,,5,,56,63,38,36,42,39,46,43,39,38,41,37,38,43,46,,,,,,,,,,,,
Саратовская обл,RU-SAR,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,11,,4,,,,6,1,4,4,1,7,2,5,7,14,17,11,16,28,26,22,39,16,20,40,22,32,33,,,,,,,,,,,,
Респ Кабардино-Балкарская,RU-KB,,,,,,,,,,,,,,,,2,,,,2,,,,,2,,2,,,,,,5,10,,4,3,5,15,,,19,23,22,22,16,18,23,25,25,29,28,29,38,45,,,,,,,,,,,,
Хабаровский край,RU-KHA,,,,,,,,,,,,,,3,,1,,,,,1,,,2,,1,1,,1,,1,,5,8,,4,1,,14,,23,14,18,38,38,30,28,29,38,41,28,27,33,28,31,,,,,,,,,,,,
Орловская обл,RU-ORL,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,3,,1,5,,5,7,5,,5,7,,32,12,34,13,43,23,40,11,47,25,42,44,53,38,,,,,,,,,,,,
Ярославская обл,RU-YAR,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,2,1,,5,,2,,,14,,,12,23,19,24,12,27,43,11,65,42,37,42,25,47,27,,,,,,,,,,,,
Респ Калмыкия,RU-KL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,,,,4,4,8,,9,,,,3,1,17,14,7,3,,11,6,10,18,24,12,9,16,,,,,,,,,,,,
Респ Удмуртская,RU-UD,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,1,,,4,,,2,,2,,6,8,15,16,4,4,26,26,34,9,17,15,9,5,5,5,,,,,,,,,,,,
